Win/Loss,Fighters,KD,Str,Td,Sub,Weight Class,Method,Round,Time,Event Name,Date,Location
WIN,"Alex Pereira, Jamahal Hill","1, 0","24, 12","0, 0","0, 0",Light,"KO/TKO, Punch",1,3:14,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Zhang Weili, Yan Xiaonan","0, 1","106, 43","6, 3","2, 0",Women's,U-DEC,5,5:00,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Max Holloway, Justin Gaethje","1, 0","181, 103","0, 0","0, 0",Lightweight,"KO/TKO, Punch",5,4:59,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Arman Tsarukyan, Charles Oliveira","0, 0","49, 19","2, 0","0, 4",Lightweight,S-DEC,3,5:00,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Bo Nickal, Cody Brundage","0, 0","8, 4","3, 0","2, 0",Middleweight,"SUB, Rear Naked Choke",2,3:38,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jiri Prochazka, Aleksandar Rakic","0, 0","69, 58","1, 0","0, 0",Light,"KO/TKO, Punches",2,3:17,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Aljamain Sterling, Calvin Kattar","0, 0","39, 8","8, 0","0, 0",Featherweight,U-DEC,3,5:00,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Kayla Harrison, Holly Holm","0, 0","51, 2","2, 0","1, 0",Women's,"SUB, Rear Naked Choke",2,1:47,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Diego Lopes, Sodiq Yusuff","2, 0","26, 2","0, 0","0, 0",Featherweight,"KO/TKO, Punches",1,1:29,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Renato Moicano, Jalin Turner","0, 1","36, 16","2, 0","0, 0",Lightweight,"KO/TKO, Punches",2,4:11,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jessica Andrade, Marina Rodriguez","0, 0","89, 82","1, 0","0, 1",Women's,S-DEC,3,5:00,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Bobby Green, Jim Miller","1, 0","186, 57","1, 0","0, 0",Lightweight,U-DEC,3,5:00,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Deiveson Figueiredo, Cody Garbrandt","0, 0","13, 16","1, 0","2, 0",Bantamweight,"SUB, Rear Naked Choke",2,4:02,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Brendan Allen, Chris Curtis","0, 0","112, 124","6, 0","0, 0",Middleweight,S-DEC,5,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Damon Jackson, Alexander Hernandez","0, 1","42, 32","3, 0","0, 0",Featherweight,S-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Chepe Mariscal, Morgan Charriere","0, 0","71, 49","1, 2","0, 1",Featherweight,S-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Ignacio Bahamondes, Christos Giagos","1, 0","40, 17","0, 0","0, 0",Lightweight,"KO/TKO, Kick",1,3:34,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Charlie Campbell, Trevor Peek","0, 0","54, 47","4, 2","0, 0",Lightweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Alex Morono, Court McGee","0, 0","38, 60","0, 1","1, 0",Welterweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Lukasz Brzeski, Valter Walker","0, 0","58, 33","0, 4","0, 0",Heavyweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Norma Dumont, Germaine de Randamie","0, 0","11, 16","6, 0","0, 0",Women's,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Victor Hugo, Pedro Falcao","1, 0","68, 42","0, 1","0, 0",Bantamweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
