Fighter Name,Record,Height,Weight,Reach,Stance,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc,TD Def,Sub. Avg
Alex Pereira,RECORD: 10-2-0,"6' 4""",205 lbs.,"79""",Orthodox,5.10,62%,3.65,50%,0.18,100%,70%,0.4
Jamahal Hill,RECORD: 12-2-0 (1 NC),"6' 4""",205 lbs.,"79""",Southpaw,7.18,54%,3.51,46%,0.00,0%,73%,0.0
Zhang Weili,RECORD: 25-3-0,"5' 4""",115 lbs.,"63""",Switch,5.66,53%,3.15,53%,2.51,46%,50%,0.5
Yan Xiaonan,RECORD: 18-4-0 (1 NC),"5' 5""",115 lbs.,"63""",Orthodox,4.97,44%,3.66,58%,1.00,73%,62%,0.0
Max Holloway,RECORD: 26-7-0,"5' 11""",145 lbs.,"69""",Orthodox,7.17,48%,4.72,59%,0.25,53%,84%,0.3
Justin Gaethje,RECORD: 25-5-0,"5' 11""",155 lbs.,"70""",Orthodox,6.78,59%,7.46,52%,0.11,25%,75%,0.0
Arman Tsarukyan,RECORD: 22-3-0,"5' 7""",155 lbs.,"72""",Orthodox,3.79,48%,1.84,53%,3.25,37%,75%,0.0
Charles Oliveira,RECORD: 34-10-0 (1 NC),"5' 10""",155 lbs.,"74""",Orthodox,3.39,53%,3.20,51%,2.17,40%,55%,2.8
Bo Nickal,RECORD: 6-0-0,"6' 1""",185 lbs.,"76""",Southpaw,1.64,62%,0.50,70%,7.46,50%,0%,7.5
Cody Brundage,RECORD: 10-6-0,"6' 0""",185 lbs.,"72""",Orthodox,1.62,54%,2.30,43%,2.33,52%,68%,0.9
Jiri Prochazka,RECORD: 30-4-1,"6' 3""",205 lbs.,"80""",Orthodox,5.75,56%,5.43,41%,0.79,60%,68%,0.3
Aleksandar Rakic,RECORD: 14-4-0,"6' 4""",205 lbs.,"78""",Orthodox,4.26,50%,2.80,50%,0.76,25%,85%,0.1
Aljamain Sterling,RECORD: 24-4-0,"5' 7""",145 lbs.,"71""",Orthodox,4.61,52%,2.30,58%,2.31,27%,45%,0.7
Calvin Kattar,RECORD: 23-8-0,"5' 11""",145 lbs.,"72""",Orthodox,4.76,39%,6.75,54%,0.39,29%,72%,0.1
Kayla Harrison,RECORD: 17-1-0,"5' 8""",135 lbs.,"66""",Southpaw,7.52,71%,0.29,83%,4.42,40%,100%,2.2
Holly Holm,RECORD: 15-7-0 (1 NC),"5' 8""",135 lbs.,"69""",Southpaw,3.13,40%,2.92,55%,0.87,30%,76%,0.1
Diego Lopes,RECORD: 24-6-0,"5' 11""",145 lbs.,"72""",Orthodox,3.22,58%,4.73,37%,0.00,0%,42%,5.0
Sodiq Yusuff,RECORD: 13-4-0,"5' 9""",145 lbs.,"71""",Orthodox,5.66,49%,4.51,53%,0.28,20%,62%,0.4
Renato Moicano,RECORD: 19-5-1,"5' 11""",155 lbs.,"72""",Orthodox,4.38,48%,3.68,60%,1.89,45%,72%,0.6
Jalin Turner,RECORD: 14-8-0,"6' 3""",155 lbs.,"77""",Southpaw,5.60,48%,4.57,41%,0.79,55%,74%,1.1
Jessica Andrade,RECORD: 26-12-0,"5' 1""",115 lbs.,"62""",Orthodox,6.62,50%,5.37,55%,2.37,55%,72%,0.3
Marina Rodriguez,RECORD: 17-4-2,"5' 6""",115 lbs.,"65""",Orthodox,4.82,47%,3.12,55%,0.23,42%,65%,0.2
Bobby Green,RECORD: 32-15-1 (1 NC),"5' 10""",155 lbs.,"71""",Orthodox,6.45,52%,3.75,62%,1.19,38%,74%,0.3
Jim Miller,RECORD: 37-18-0 (1 NC),"5' 8""",155 lbs.,"71""",Southpaw,2.99,42%,3.50,56%,1.53,44%,47%,1.7
Deiveson Figueiredo,RECORD: 23-3-1,"5' 5""",135 lbs.,"68""",Orthodox,3.01,55%,3.38,50%,1.65,42%,58%,1.7
Cody Garbrandt,RECORD: 14-6-0,"5' 8""",135 lbs.,"65""",Orthodox,2.98,40%,3.76,60%,1.03,34%,80%,0.0
Brendan Allen,RECORD: 24-5-0,"6' 2""",185 lbs.,"75""",Orthodox,3.98,53%,3.83,47%,1.74,47%,58%,1.4
Chris Curtis,RECORD: 31-11-0 (1 NC),"5' 10""",185 lbs.,"75""",Orthodox,5.76,51%,6.16,52%,0.00,0%,82%,0.0
Damon Jackson,RECORD: 23-6-1 (1 NC),"5' 11""",145 lbs.,"71""",Switch,3.00,41%,3.29,51%,2.51,35%,40%,1.4
Alexander Hernandez,RECORD: 14-8-0,"5' 9""",145 lbs.,"72""",Orthodox,4.33,41%,4.66,55%,1.06,31%,59%,0.1
