,Win/Loss,Fighters,KD,Str,Td,Sub,Weight Class,Method,Round,Time,Event Name,Date,Location,Opponent,Record,Height,Weight,Reach,Stance,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc,TD Def,Sub. Avg,Year
0,WIN,Alex Pereira,1,24,0,0,Light Heavyweight,"KO/TKO, Punches",1,3:14,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Jamahal Hill,RECORD: 10-2-0,"6' 4""",205 lbs.,"79""",Orthodox,5.1,0.62,3.65,50%,0.18,100%,70%,0.4,2024
1,LOSS,Jamahal Hill,0,12,0,0,Light Heavyweight,"KO/TKO, Punches",1,3:14,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Alex Pereira,RECORD: 12-2-0 (1 NC),"6' 4""",205 lbs.,"79""",Southpaw,7.18,0.54,3.51,46%,0.0,0%,73%,0.0,2024
2,WIN,Zhang Weili,0,106,6,2,Women's,U-DEC,5,5:00,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Yan Xiaonan,RECORD: 25-3-0,"5' 4""",115 lbs.,"63""",Switch,5.66,0.53,3.15,53%,2.51,46%,50%,0.5,2024
3,LOSS,Yan Xiaonan,1,43,3,0,Women's,U-DEC,5,5:00,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Zhang Weili,RECORD: 18-4-0 (1 NC),"5' 5""",115 lbs.,"63""",Orthodox,4.97,0.44,3.66,58%,1.0,73%,62%,0.0,2024
4,WIN,Max Holloway,1,181,0,0,Lightweight,"KO/TKO, Punches",5,4:59,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Justin Gaethje,RECORD: 26-7-0,"5' 11""",145 lbs.,"69""",Orthodox,7.17,0.48,4.72,59%,0.25,53%,84%,0.3,2024
5,LOSS,Justin Gaethje,0,103,0,0,Lightweight,"KO/TKO, Punches",5,4:59,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Max Holloway,RECORD: 25-5-0,"5' 11""",155 lbs.,"70""",Orthodox,6.78,0.59,7.46,52%,0.11,25%,75%,0.0,2024
6,WIN,Arman Tsarukyan,0,49,2,0,Lightweight,S-DEC,3,5:00,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Charles Oliveira,RECORD: 22-3-0,"5' 7""",155 lbs.,"72""",Orthodox,3.79,0.48,1.84,53%,3.25,37%,75%,0.0,2024
7,LOSS,Charles Oliveira,0,19,0,4,Lightweight,S-DEC,3,5:00,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Arman Tsarukyan,RECORD: 34-10-0 (1 NC),"5' 10""",155 lbs.,"74""",Orthodox,3.39,0.53,3.2,51%,2.17,40%,55%,2.8,2024
8,WIN,Bo Nickal,0,8,3,2,Middleweight,"SUB, Rear Naked Choke",2,3:38,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Cody Brundage,RECORD: 6-0-0,"6' 1""",185 lbs.,"76""",Southpaw,1.64,0.62,0.5,70%,7.46,50%,0%,7.5,2024
9,LOSS,Cody Brundage,0,4,0,0,Middleweight,"SUB, Rear Naked Choke",2,3:38,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Bo Nickal,RECORD: 10-6-0,"6' 0""",185 lbs.,"72""",Orthodox,1.62,0.54,2.3,43%,2.33,52%,68%,0.9,2024
10,WIN,Jiri Prochazka,0,69,1,0,Light Heavyweight,"KO/TKO, Punches",2,3:17,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Aleksandar Rakic,RECORD: 30-4-1,"6' 3""",205 lbs.,"80""",Orthodox,5.75,0.56,5.43,41%,0.79,60%,68%,0.3,2024
11,LOSS,Aleksandar Rakic,0,58,0,0,Light Heavyweight,"KO/TKO, Punches",2,3:17,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Jiri Prochazka,RECORD: 14-4-0,"6' 4""",205 lbs.,"78""",Orthodox,4.26,0.5,2.8,50%,0.76,25%,85%,0.1,2024
12,WIN,Aljamain Sterling,0,39,8,0,Featherweight,U-DEC,3,5:00,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Calvin Kattar,RECORD: 24-4-0,"5' 7""",145 lbs.,"71""",Orthodox,4.61,0.52,2.3,58%,2.31,27%,45%,0.7,2024
13,LOSS,Calvin Kattar,0,8,0,0,Featherweight,U-DEC,3,5:00,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Aljamain Sterling,RECORD: 23-8-0,"5' 11""",145 lbs.,"72""",Orthodox,4.76,0.39,6.75,54%,0.39,29%,72%,0.1,2024
